disk_tb,hitrate_pct,p50_ms,p95_ms
547.0,81.5989,46.4200,175.3000
548.0,81.5990,46.4200,175.3000
549.0,81.5991,46.4200,175.3000
550.0,81.5992,46.4200,175.3000
551.0,81.5993,46.4200,175.3000
552.0,81.5994,46.4200,175.3000
553.0,81.5994,46.4200,175.3000
554.0,81.5995,46.4200,175.3000
555.0,81.5996,46.4200,175.3000
556.0,81.5997,46.4200,175.3000
557.0,81.5998,46.4200,175.3000
558.0,81.5999,46.4200,175.3000
559.0,81.6000,46.4200,175.3000
560.0,81.6168,46.4100,175.2700
561.0,81.6560,46.3800,175.2100
562.0,81.6952,46.3500,175.1500
563.0,81.7524,46.3000,175.0600
564.0,81.7553,46.3000,175.0500
565.0,81.7582,46.3000,175.0500
566.0,81.7610,46.3000,175.0400
567.0,81.7638,46.2900,175.0400
568.0,81.7667,46.2900,175.0300
569.0,81.7695,46.2900,175.0300
570.0,81.7724,46.2900,175.0300
571.0,81.7752,46.2800,175.0200
572.0,81.7781,46.2800,175.0200
573.0,81.7809,46.2800,175.0100
574.0,81.7838,46.2800,175.0100
575.0,81.7866,46.2800,175.0000
576.0,81.7895,46.2700,175.0000
577.0,81.7923,46.2700,174.9900
578.0,81.7951,46.2700,174.9900
579.0,81.7980,46.2700,174.9900
580.0,81.8592,46.2200,174.8900
581.0,81.8980,46.1900,174.8300
582.0,81.8981,46.1900,174.8300
583.0,81.8982,46.1900,174.8300
584.0,81.8982,46.1900,174.8300
585.0,81.8983,46.1900,174.8300
586.0,81.8984,46.1900,174.8300
587.0,81.8985,46.1900,174.8300
588.0,81.8985,46.1900,174.8300
589.0,81.8986,46.1900,174.8300
590.0,81.8987,46.1900,174.8300
591.0,81.8987,46.1900,174.8300
592.0,81.8988,46.1900,174.8300
593.0,81.8989,46.1900,174.8300
594.0,81.8990,46.1900,174.8300
595.0,81.8990,46.1900,174.8300
596.0,81.8991,46.1900,174.8300
597.0,81.8992,46.1900,174.8300
598.0,81.8992,46.1900,174.8300
599.0,81.8993,46.1900,174.8300
600.0,81.8994,46.1900,174.8300
601.0,81.8995,46.1900,174.8300
602.0,81.8995,46.1900,174.8300
603.0,81.8996,46.1900,174.8300
604.0,81.8997,46.1900,174.8300
605.0,81.8998,46.1900,174.8300
