iteration=1
SJC, disk_mb=71139840.00, hitrate=73.54, cost=3050.20, perf_penalty=15574.61, p50=28.2820, p95=124.4330, cost_gradient=92.0477, perf_gradient=-845.6303, overall_gradient=-753.5825
SJU, disk_mb=69758080.00, hitrate=63.46, cost=1477.35, perf_penalty=28798.60, p50=45.6910, p95=156.7820, cost_gradient=7.6379, perf_gradient=-2413.1003, overall_gradient=-2405.4623
SEA, disk_mb=90159040.00, hitrate=73.86, cost=3094.84, perf_penalty=15963.87, p50=30.4060, p95=121.4190, cost_gradient=95.3137, perf_gradient=-1132.7634, overall_gradient=-1037.4498
SYR, disk_mb=0.00, hitrate=9.50, cost=0.00, perf_penalty=28230.12, p50=44.5150, p95=135.1960, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
TPA, disk_mb=0.00, hitrate=10.40, cost=0.00, perf_penalty=12258.05, p50=32.0430, p95=120.7140, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
IAD, disk_mb=55784320.00, hitrate=69.03, cost=4405.26, perf_penalty=0.00, p50=12.6670, p95=88.6240, cost_gradient=24.7632, perf_gradient=0.0000, overall_gradient=24.7632
HVN, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=48.07, p50=22.0420, p95=106.8780, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
OMA, disk_mb=36422400.00, hitrate=65.22, cost=952.24, perf_penalty=7382.87, p50=31.4920, p95=117.6220, cost_gradient=11.2325, perf_gradient=-667.4276, overall_gradient=-656.1951
RIC, disk_mb=30513600.00, hitrate=59.30, cost=762.58, perf_penalty=20447.37, p50=35.0860, p95=119.3000, cost_gradient=16.9136, perf_gradient=-792.0151, overall_gradient=-775.1016
TUS, disk_mb=0.00, hitrate=13.80, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JAX, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=18783.64, p50=33.9740, p95=124.0700, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BNA, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=23488.01, p50=34.8460, p95=121.2800, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
BDL, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=5293.26, p50=35.8040, p95=120.6840, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ANC, disk_mb=0.00, hitrate=12.30, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MSN, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=8112.79, p50=33.4670, p95=113.3730, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ALB, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=8275.02, p50=33.6590, p95=119.9390, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JAN, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=25700.87, p50=42.3160, p95=136.3440, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LEX, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=17219.15, p50=38.6080, p95=127.6080, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
OKC, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=16682.06, p50=32.1060, p95=121.8380, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
FSD, disk_mb=25008000.00, hitrate=59.37, cost=595.81, perf_penalty=7882.79, p50=36.0070, p95=117.0320, cost_gradient=18.5054, perf_gradient=-769.7248, overall_gradient=-751.2194

iteration=3
ABQ, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=33695.58, p50=45.8740, p95=138.5100, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ATL, disk_mb=113384640.00, hitrate=79.28, cost=5493.39, perf_penalty=17560.15, p50=28.4150, p95=116.1950, cost_gradient=86.2642, perf_gradient=-395.0224, overall_gradient=-308.7582
AUS, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=12561.51, p50=34.1020, p95=115.1380, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BWI, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=12218.87, p50=35.1440, p95=115.9190, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BOS, disk_mb=62416320.00, hitrate=70.89, cost=1763.40, perf_penalty=7192.40, p50=28.0790, p95=113.4430, cost_gradient=33.3582, perf_gradient=-774.2579, overall_gradient=-740.8998
