disk_tb,hitrate_pct,p50_ms,p95_ms
416.0,80.4011,31.9300,181.0100
417.0,80.4089,31.9200,180.9900
418.0,80.4165,31.9200,180.9800
419.0,80.4243,31.9100,180.9700
420.0,80.4321,31.9000,180.9500
421.0,80.4397,31.8900,180.9400
422.0,80.4475,31.8800,180.9200
423.0,80.4553,31.8800,180.9100
424.0,80.4629,31.8700,180.9000
425.0,80.4707,31.8600,180.8800
426.0,80.4785,31.8500,180.8700
427.0,80.4861,31.8400,180.8600
428.0,80.4939,31.8300,180.8400
429.0,80.5808,31.7400,180.6900
430.0,80.5855,31.7400,180.6800
431.0,80.5902,31.7300,180.6700
432.0,80.5949,31.7300,180.6700
433.0,80.5996,31.7300,180.6600
434.0,80.6923,31.6300,180.4900
435.0,80.6930,31.6300,180.4900
436.0,80.6938,31.6300,180.4900
437.0,80.6945,31.6300,180.4900
438.0,80.6952,31.6300,180.4900
439.0,80.6960,31.6300,180.4900
440.0,80.6967,31.6200,180.4900
441.0,80.6975,31.6200,180.4800
442.0,80.6982,31.6200,180.4800
443.0,80.6990,31.6200,180.4800
444.0,80.6997,31.6200,180.4800
445.0,80.7935,31.5200,180.3100
446.0,80.7958,31.5200,180.3100
447.0,80.7981,31.5200,180.3100
448.0,80.8380,31.4800,180.2300
449.0,80.8981,31.4200,180.1300
450.0,80.8982,31.4200,180.1300
451.0,80.8983,31.4200,180.1300
452.0,80.8984,31.4200,180.1300
453.0,80.8984,31.4200,180.1300
454.0,80.8985,31.4200,180.1300
455.0,80.8986,31.4200,180.1300
456.0,80.8987,31.4200,180.1300
457.0,80.8988,31.4200,180.1300
458.0,80.8989,31.4200,180.1300
459.0,80.8990,31.4200,180.1300
460.0,80.8991,31.4100,180.1300
461.0,80.8992,31.4100,180.1300
462.0,80.8993,31.4100,180.1300
463.0,80.8994,31.4100,180.1200
464.0,80.8995,31.4100,180.1200
465.0,80.8996,31.4100,180.1200
466.0,80.8997,31.4100,180.1200
467.0,80.8998,31.4100,180.1200
468.0,80.8999,31.4100,180.1200
469.0,80.9000,31.4100,180.1200
470.0,80.9936,31.3200,179.9600
471.0,80.9941,31.3200,179.9600
472.0,80.9946,31.3200,179.9500
473.0,80.9951,31.3200,179.9500
474.0,80.9956,31.3200,179.9500
475.0,80.9960,31.3100,179.9500
476.0,80.9965,31.3100,179.9500
477.0,80.9970,31.3100,179.9500
478.0,80.9975,31.3100,179.9500
479.0,80.9980,31.3100,179.9500
480.0,80.9984,31.3100,179.9500
481.0,80.9989,31.3100,179.9500
482.0,80.9994,31.3100,179.9500
483.0,80.9999,31.3100,179.9500
484.0,81.1681,31.1400,179.6500
485.0,81.1701,31.1400,179.6400
486.0,81.1721,31.1300,179.6400
487.0,81.1741,31.1300,179.6400
488.0,81.1761,31.1300,179.6300
489.0,81.1781,31.1300,179.6300
490.0,81.1801,31.1300,179.6300
491.0,81.1820,31.1200,179.6200
492.0,81.1840,31.1200,179.6200
493.0,81.1860,31.1200,179.6200
494.0,81.1880,31.1200,179.6100
495.0,81.1900,31.1200,179.6100
496.0,81.1920,31.1100,179.6100
497.0,81.1940,31.1100,179.6000
498.0,81.1960,31.1100,179.6000
499.0,81.1980,31.1100,179.5900
500.0,81.2000,31.1000,179.5900
501.0,81.2954,31.0100,179.4200
502.0,81.2961,31.0100,179.4200
503.0,81.2969,31.0100,179.4200
504.0,81.2976,31.0000,179.4200
505.0,81.2984,31.0000,179.4200
506.0,81.2992,31.0000,179.4100
507.0,81.2999,31.0000,179.4100
508.0,81.3887,30.9100,179.2500
509.0,81.3901,30.9100,179.2500
510.0,81.3916,30.9100,179.2500
511.0,81.3930,30.9100,179.2500
512.0,81.3944,30.9100,179.2400
513.0,81.3959,30.9100,179.2400
514.0,81.3973,30.9100,179.2400
515.0,81.3987,30.9000,179.2400
516.0,81.4008,30.9000,179.2300
517.0,81.4089,30.8900,179.2200
518.0,81.4171,30.8900,179.2000
519.0,81.4253,30.8800,179.1900
520.0,81.4333,30.8700,179.1700
521.0,81.4415,30.8600,179.1600
522.0,81.4497,30.8500,179.1400
523.0,81.4578,30.8500,179.1300
524.0,81.4659,30.8400,179.1100
525.0,81.4741,30.8300,179.1000
526.0,81.4822,30.8200,179.0800
527.0,81.4903,30.8100,179.0700
528.0,81.4984,30.8100,179.0500
529.0,81.4999,30.8000,179.0500
530.0,81.4999,30.8000,179.0500
531.0,81.5000,30.8000,179.0500
532.0,81.5000,30.8000,179.0500
533.0,81.5000,30.8000,179.0500
534.0,81.5298,30.7800,179.0000
535.0,81.5979,30.7100,178.8700
536.0,81.5980,30.7100,178.8700
537.0,81.5981,30.7100,178.8700
538.0,81.5982,30.7100,178.8700
539.0,81.5983,30.7100,178.8700
540.0,81.5984,30.7100,178.8700
541.0,81.5984,30.7100,178.8700
542.0,81.5985,30.7100,178.8700
543.0,81.5986,30.7100,178.8700
544.0,81.5987,30.7100,178.8700
545.0,81.5988,30.7100,178.8700
546.0,81.5989,30.7100,178.8700
547.0,81.5989,30.7100,178.8700
548.0,81.5990,30.7100,178.8700
549.0,81.5991,30.7100,178.8700
550.0,81.5992,30.7100,178.8700
551.0,81.5993,30.7100,178.8700
552.0,81.5994,30.7100,178.8700
553.0,81.5994,30.7100,178.8700
554.0,81.5995,30.7100,178.8700
555.0,81.5996,30.7100,178.8700
556.0,81.5997,30.7100,178.8700
557.0,81.5998,30.7100,178.8700
558.0,81.5999,30.7100,178.8700
559.0,81.6000,30.7100,178.8700
560.0,81.6168,30.6900,178.8400
561.0,81.6560,30.6500,178.7700
562.0,81.6952,30.6100,178.6900
563.0,81.7524,30.5600,178.5900
564.0,81.7553,30.5500,178.5800
565.0,81.7582,30.5500,178.5800
566.0,81.7610,30.5500,178.5700
567.0,81.7638,30.5500,178.5700
568.0,81.7667,30.5400,178.5600
569.0,81.7695,30.5400,178.5600
570.0,81.7724,30.5400,178.5500
571.0,81.7752,30.5300,178.5400
572.0,81.7781,30.5300,178.5400
573.0,81.7809,30.5300,178.5300
574.0,81.7838,30.5300,178.5300
575.0,81.7866,30.5200,178.5200
576.0,81.7895,30.5200,178.5200
577.0,81.7923,30.5200,178.5100
578.0,81.7951,30.5200,178.5100
579.0,81.7980,30.5100,178.5000
580.0,81.8592,30.4500,178.3900
581.0,81.8980,30.4100,178.3200
582.0,81.8981,30.4100,178.3200
583.0,81.8982,30.4100,178.3200
584.0,81.8982,30.4100,178.3100
585.0,81.8983,30.4100,178.3100
586.0,81.8984,30.4100,178.3100
587.0,81.8985,30.4100,178.3100
588.0,81.8985,30.4100,178.3100
589.0,81.8986,30.4100,178.3100
590.0,81.8987,30.4100,178.3100
591.0,81.8987,30.4100,178.3100
592.0,81.8988,30.4100,178.3100
593.0,81.8989,30.4100,178.3100
594.0,81.8990,30.4100,178.3100
595.0,81.8990,30.4100,178.3100
596.0,81.8991,30.4100,178.3100
597.0,81.8992,30.4100,178.3100
598.0,81.8992,30.4100,178.3100
599.0,81.8993,30.4100,178.3100
600.0,81.8994,30.4100,178.3100
601.0,81.8995,30.4100,178.3100
602.0,81.8995,30.4100,178.3100
603.0,81.8996,30.4100,178.3100
604.0,81.8997,30.4100,178.3100
605.0,81.8998,30.4100,178.3100
606.0,81.8998,30.4100,178.3100
607.0,81.8999,30.4100,178.3100
608.0,81.9000,30.4100,178.3100
609.0,81.9052,30.4100,178.3000
610.0,81.9142,30.4000,178.2900
611.0,81.9232,30.3900,178.2700
612.0,81.9322,30.3800,178.2500
613.0,81.9411,30.3700,178.2300
614.0,81.9501,30.3600,178.2200
615.0,81.9592,30.3500,178.2000
616.0,81.9681,30.3500,178.1800
617.0,81.9771,30.3400,178.1700
618.0,81.9861,30.3300,178.1500
619.0,81.9950,30.3200,178.1300
620.0,82.0892,30.2300,177.9500
621.0,82.0899,30.2300,177.9500
622.0,82.0906,30.2300,177.9500
623.0,82.0914,30.2300,177.9500
624.0,82.0921,30.2300,177.9500
625.0,82.0929,30.2200,177.9500
626.0,82.0936,30.2200,177.9500
627.0,82.0943,30.2200,177.9400
628.0,82.0951,30.2200,177.9400
629.0,82.0958,30.2200,177.9400
630.0,82.0966,30.2200,177.9400
631.0,82.0973,30.2200,177.9400
632.0,82.0980,30.2200,177.9400
633.0,82.0988,30.2200,177.9400
634.0,82.0995,30.2200,177.9300
635.0,82.1802,30.1400,177.7800
636.0,82.1807,30.1400,177.7800
637.0,82.1813,30.1400,177.7800
638.0,82.1819,30.1400,177.7800
639.0,82.1824,30.1400,177.7800
640.0,82.1830,30.1400,177.7700
641.0,82.1835,30.1400,177.7700
642.0,82.1841,30.1400,177.7700
643.0,82.1847,30.1300,177.7700
644.0,82.1852,30.1300,177.7700
645.0,82.1858,30.1300,177.7700
646.0,82.1863,30.1300,177.7700
647.0,82.1869,30.1300,177.7700
648.0,82.1875,30.1300,177.7700
649.0,82.1880,30.1300,177.7600
650.0,82.1886,30.1300,177.7600
651.0,82.1891,30.1300,177.7600
652.0,82.1897,30.1300,177.7600
653.0,82.1903,30.1300,177.7600
654.0,82.1908,30.1300,177.7600
655.0,82.1914,30.1300,177.7600
656.0,82.1919,30.1300,177.7600
657.0,82.1925,30.1300,177.7600
658.0,82.1931,30.1300,177.7500
659.0,82.1936,30.1300,177.7500
660.0,82.1942,30.1300,177.7500
661.0,82.1948,30.1300,177.7500
662.0,82.1953,30.1200,177.7500
663.0,82.1959,30.1200,177.7500
664.0,82.1964,30.1200,177.7500
665.0,82.1970,30.1200,177.7500
666.0,82.1976,30.1200,177.7500
667.0,82.1981,30.1200,177.7400
668.0,82.1987,30.1200,177.7400
669.0,82.1992,30.1200,177.7400
670.0,82.1998,30.1200,177.7400
671.0,82.2047,30.1200,177.7300
672.0,82.2121,30.1100,177.7200
673.0,82.2196,30.1000,177.7000
674.0,82.2270,30.0900,177.6900
675.0,82.2344,30.0900,177.6700
676.0,82.2418,30.0800,177.6600
677.0,82.2492,30.0700,177.6500
678.0,82.2566,30.0600,177.6300
679.0,82.2641,30.0600,177.6200
680.0,82.2715,30.0500,177.6000
681.0,82.2789,30.0400,177.5900
682.0,82.2863,30.0400,177.5700
683.0,82.2937,30.0300,177.5600
684.0,82.3500,29.9800,177.4500
685.0,82.3967,29.9300,177.3600
686.0,82.3968,29.9300,177.3600
687.0,82.3969,29.9300,177.3600
688.0,82.3969,29.9300,177.3600
689.0,82.3970,29.9300,177.3600
690.0,82.3971,29.9300,177.3600
691.0,82.3971,29.9300,177.3600
692.0,82.3972,29.9300,177.3600
693.0,82.3973,29.9300,177.3600
694.0,82.3973,29.9300,177.3600
695.0,82.3974,29.9300,177.3600
696.0,82.3975,29.9300,177.3600
697.0,82.3975,29.9300,177.3600
698.0,82.3976,29.9300,177.3600
699.0,82.3977,29.9300,177.3600
700.0,82.3977,29.9300,177.3600
701.0,82.3978,29.9300,177.3600
702.0,82.3979,29.9300,177.3600
703.0,82.3979,29.9300,177.3600
704.0,82.3980,29.9300,177.3600
705.0,82.3981,29.9300,177.3600
706.0,82.3981,29.9300,177.3600
707.0,82.3982,29.9300,177.3600
708.0,82.3983,29.9300,177.3600
709.0,82.3983,29.9300,177.3600
710.0,82.3984,29.9300,177.3600
711.0,82.3985,29.9300,177.3600
712.0,82.3985,29.9300,177.3600
713.0,82.3986,29.9300,177.3600
714.0,82.3987,29.9300,177.3600
715.0,82.3987,29.9300,177.3600
716.0,82.3988,29.9300,177.3500
717.0,82.3989,29.9300,177.3500
718.0,82.3989,29.9300,177.3500
719.0,82.3990,29.9300,177.3500
720.0,82.3991,29.9300,177.3500
721.0,82.3991,29.9300,177.3500
722.0,82.3992,29.9300,177.3500
723.0,82.3993,29.9300,177.3500
724.0,82.3993,29.9300,177.3500
725.0,82.3994,29.9300,177.3500
726.0,82.3995,29.9300,177.3500
727.0,82.3995,29.9300,177.3500
728.0,82.3996,29.9300,177.3500
729.0,82.3997,29.9300,177.3500
730.0,82.3997,29.9300,177.3500
