iteration=1
LAX, disk_mb=52496000.00, hitrate=67.60, cost=3098.83, perf_penalty=11580.00, p50=29.2450, p95=120.3600, cost_gradient=38.7920, perf_gradient=-442.1679, overall_gradient=-403.3759
SDF, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=55799.68, p50=43.7980, p95=130.0880, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MEM, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=56587.12, p50=43.7150, p95=132.3520, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MIA, disk_mb=52465280.00, hitrate=58.40, cost=2983.13, perf_penalty=9966.21, p50=27.9540, p95=120.0240, cost_gradient=0.3222, perf_gradient=-615.0965, overall_gradient=-614.7743
MKE, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=24276.94, p50=36.0380, p95=119.5560, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MSP, disk_mb=123653760.00, hitrate=82.90, cost=3360.48, perf_penalty=4058.96, p50=28.6400, p95=106.7560, cost_gradient=43.0903, perf_gradient=-106.0524, overall_gradient=-62.9621
MSY, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=34329.82, p50=37.9430, p95=129.0010, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
LGA, disk_mb=74757760.00, hitrate=76.20, cost=3021.06, perf_penalty=4589.28, p50=23.1810, p95=114.1720, cost_gradient=25.5463, perf_gradient=-329.9568, overall_gradient=-304.4105
ORL, disk_mb=0.00, hitrate=10.40, cost=0.00, perf_penalty=24907.56, p50=35.0750, p95=125.6540, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
PHL, disk_mb=145408000.00, hitrate=87.00, cost=3174.08, perf_penalty=146.17, p50=24.2090, p95=104.0060, cost_gradient=-24.9705, perf_gradient=-27.4968, overall_gradient=-52.4673
PHX, disk_mb=108355200.00, hitrate=79.85, cost=2710.72, perf_penalty=7225.42, p50=27.9040, p95=114.6410, cost_gradient=-13.9759, perf_gradient=-493.6527, overall_gradient=-507.6286
PIT, disk_mb=79478400.00, hitrate=79.93, cost=2032.33, perf_penalty=7056.47, p50=30.9180, p95=106.5740, cost_gradient=7.8681, perf_gradient=-744.6317, overall_gradient=-736.7636
PDX, disk_mb=110024320.00, hitrate=77.14, cost=2015.31, perf_penalty=4498.71, p50=26.6820, p95=111.2860, cost_gradient=5.2139, perf_gradient=-228.3065, overall_gradient=-223.0926
PVD, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=4856.38, p50=27.3490, p95=110.9300, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
RDU, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=29547.79, p50=37.9460, p95=119.4190, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
ROC, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=47794.63, p50=41.6560, p95=130.9800, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
SAC, disk_mb=26773120.00, hitrate=57.29, cost=871.64, perf_penalty=34586.08, p50=37.9710, p95=129.3460, cost_gradient=20.3518, perf_gradient=-1159.8792, overall_gradient=-1139.5274
STL, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=18458.32, p50=33.3510, p95=120.4880, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
SLC, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=88502.78, p50=49.2340, p95=144.3610, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
SAT, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=22214.90, p50=35.1340, p95=119.9830, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
SAN, disk_mb=37719680.00, hitrate=63.30, cost=880.03, perf_penalty=21234.78, p50=34.4570, p95=121.2170, cost_gradient=10.8787, perf_gradient=-359.9616, overall_gradient=-349.0829
SJC, disk_mb=41139840.00, hitrate=64.49, cost=2257.79, perf_penalty=17674.91, p50=30.7100, p95=128.4610, cost_gradient=17.9333, perf_gradient=-1456.8944, overall_gradient=-1438.9611
SJU, disk_mb=52465280.00, hitrate=58.40, cost=1271.30, perf_penalty=90277.72, p50=48.0850, p95=159.7040, cost_gradient=-3.9626, perf_gradient=-5292.1779, overall_gradient=-5296.1405
SEA, disk_mb=29159040.00, hitrate=55.43, cost=1758.98, perf_penalty=28161.56, p50=35.8010, p95=128.5500, cost_gradient=24.4421, perf_gradient=-3259.5848, overall_gradient=-3235.1427
SYR, disk_mb=0.00, hitrate=9.50, cost=0.00, perf_penalty=60647.65, p50=44.3880, p95=134.8060, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
TPA, disk_mb=0.00, hitrate=10.40, cost=0.00, perf_penalty=15297.44, p50=31.7940, p95=120.1280, cost_gradient=60.6562, perf_gradient=0.0000, overall_gradient=60.6562
IAD, disk_mb=73154560.00, hitrate=74.00, cost=3627.39, perf_penalty=0.00, p50=11.5750, p95=86.1350, cost_gradient=-31.6285, perf_gradient=0.0000, overall_gradient=-31.6285
HVN, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=744.50, p50=21.9140, p95=106.4890, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
OMA, disk_mb=41641600.00, hitrate=67.30, cost=866.89, perf_penalty=13607.28, p50=31.5430, p95=117.6180, cost_gradient=7.8765, perf_gradient=-757.6808, overall_gradient=-749.8043
RIC, disk_mb=31657600.00, hitrate=59.89, cost=687.96, perf_penalty=18881.38, p50=34.2140, p95=117.6120, cost_gradient=10.9363, perf_gradient=-532.2757, overall_gradient=-521.3394
TUS, disk_mb=0.00, hitrate=13.80, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
JAX, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=21327.68, p50=33.9010, p95=123.8890, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
BNA, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=22209.60, p50=34.8550, p95=121.3110, cost_gradient=60.6562, perf_gradient=0.0000, overall_gradient=60.6562
BDL, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=26396.04, p50=36.4140, p95=121.8050, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
ANC, disk_mb=0.00, hitrate=12.30, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MSN, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=15766.33, p50=33.6390, p95=113.8950, cost_gradient=60.6562, perf_gradient=0.0000, overall_gradient=60.6562
ALB, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=19103.65, p50=33.7820, p95=119.9570, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
JAN, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=52229.89, p50=42.1670, p95=135.9850, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
LEX, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=36548.95, p50=38.8090, p95=128.1130, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
OKC, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=15605.50, p50=31.7510, p95=120.8950, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
FSD, disk_mb=24510080.00, hitrate=59.06, cost=531.63, perf_penalty=23070.81, p50=36.0460, p95=117.1020, cost_gradient=11.3376, perf_gradient=-1875.4249, overall_gradient=-1864.0873

iteration=3
ABQ, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=68878.97, p50=45.8460, p95=138.3700, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
ATL, disk_mb=112013760.00, hitrate=79.03, cost=4527.29, perf_penalty=8649.16, p50=28.4600, p95=116.3360, cost_gradient=67.4918, perf_gradient=-145.2596, overall_gradient=-77.7678
AUS, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=15765.63, p50=33.7080, p95=113.5990, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
BWI, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=18510.22, p50=34.6710, p95=114.7780, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
BOS, disk_mb=46416320.00, hitrate=66.52, cost=1361.97, perf_penalty=8183.75, p50=28.7500, p95=114.7550, cost_gradient=1.0743, perf_gradient=-845.4641, overall_gradient=-844.3898
BUF, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=47968.77, p50=41.8220, p95=130.0840, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
CLT, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=22701.54, p50=35.4810, p95=119.2480, cost_gradient=60.6562, perf_gradient=0.0000, overall_gradient=60.6562
ORD, disk_mb=75825600.00, hitrate=75.90, cost=3885.04, perf_penalty=7769.51, p50=28.5100, p95=114.4670, cost_gradient=-18.3244, perf_gradient=-500.7629, overall_gradient=-519.0873
CVG, disk_mb=37917120.00, hitrate=65.30, cost=702.44, perf_penalty=24944.79, p50=36.6610, p95=117.5650, cost_gradient=21.2483, perf_gradient=-469.9776, overall_gradient=-448.7293
CLE, disk_mb=100411840.00, hitrate=83.19, cost=2325.97, perf_penalty=3262.69, p50=28.7120, p95=101.0600, cost_gradient=4.7938, perf_gradient=-236.0281, overall_gradient=-231.2343
CMH, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=35646.34, p50=39.4030, p95=122.4810, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
DFW, disk_mb=83638720.00, hitrate=76.90, cost=3745.38, perf_penalty=4122.76, p50=23.5980, p95=113.1740, cost_gradient=51.5743, perf_gradient=-139.9365, overall_gradient=-88.3622
DEN, disk_mb=40180160.00, hitrate=65.30, cost=1086.23, perf_penalty=13789.22, p50=31.5850, p95=117.8380, cost_gradient=27.2023, perf_gradient=-466.6369, overall_gradient=-439.4346
DET, disk_mb=106443200.00, hitrate=83.85, cost=1653.74, perf_penalty=17818.65, p50=33.7560, p95=117.4990, cost_gradient=15.8767, perf_gradient=-204.9460, overall_gradient=-189.0693
HNL, disk_mb=46139840.00, hitrate=65.79, cost=867.28, perf_penalty=223725.16, p50=65.5400, p95=190.5200, cost_gradient=21.7682, perf_gradient=-13903.9800, overall_gradient=-13882.2118
IAH, disk_mb=192744640.00, hitrate=90.40, cost=3816.43, perf_penalty=460.53, p50=25.1460, p95=104.1280, cost_gradient=19.9439, perf_gradient=-17.4623, overall_gradient=2.4816
IND, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=22216.58, p50=35.3960, p95=118.7010, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MCI, disk_mb=44655040.00, hitrate=68.41, cost=844.82, perf_penalty=50314.66, p50=41.9130, p95=134.0890, cost_gradient=3.1696, perf_gradient=-777.0537, overall_gradient=-773.8841
LAS, disk_mb=57496000.00, hitrate=69.22, cost=1237.73, perf_penalty=24467.44, p50=33.1200, p95=133.4520, cost_gradient=-0.2251, perf_gradient=-788.1161, overall_gradient=-788.3412
LAX, disk_mb=57496000.00, hitrate=69.22, cost=3098.07, perf_penalty=10876.32, p50=28.9210, p95=119.7410, cost_gradient=-0.7593, perf_gradient=-703.6784, overall_gradient=-704.4377
SDF, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=54472.38, p50=43.5420, p95=129.5500, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MEM, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=56197.23, p50=43.6460, p95=132.1430, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MIA, disk_mb=57465280.00, hitrate=59.80, cost=3019.44, perf_penalty=9581.52, p50=27.7760, p95=119.6010, cost_gradient=36.3075, perf_gradient=-384.6940, overall_gradient=-348.3865
MKE, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=23364.14, p50=35.7940, p95=118.9910, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
