iteration=1
BUF, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=3419.01, p50=42.3110, p95=131.6030, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CLT, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=14877.76, p50=35.7540, p95=120.2430, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ORD, disk_mb=70825600.00, hitrate=74.67, cost=4685.71, perf_penalty=4455.96, p50=28.7230, p95=114.9900, cost_gradient=38.9880, perf_gradient=-226.8041, overall_gradient=-187.8160
CVG, disk_mb=29923520.00, hitrate=62.14, cost=749.90, perf_penalty=5708.00, p50=37.3300, p95=118.7070, cost_gradient=17.6366, perf_gradient=-204.9224, overall_gradient=-187.2859
CLE, disk_mb=74478400.00, hitrate=78.94, cost=2568.64, perf_penalty=905.21, p50=29.7360, p95=104.1860, cost_gradient=-12.9006, perf_gradient=-101.2812, overall_gradient=-114.1818
CMH, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=9034.73, p50=40.0440, p95=123.8140, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
DFW, disk_mb=65638720.00, hitrate=73.32, cost=4438.39, perf_penalty=1371.84, p50=24.1830, p95=114.7610, cost_gradient=81.4647, perf_gradient=-28.2237, overall_gradient=53.2410
DEN, disk_mb=36207040.00, hitrate=63.50, cost=1287.72, perf_penalty=4495.19, p50=31.8040, p95=118.7060, cost_gradient=20.1593, perf_gradient=-286.9558, overall_gradient=-266.7964
DET, disk_mb=80478400.00, hitrate=80.04, cost=1829.87, perf_penalty=8449.00, p50=34.5290, p95=119.0930, cost_gradient=0.7041, perf_gradient=-212.6424, overall_gradient=-211.9383
HNL, disk_mb=136968320.00, hitrate=85.21, cost=1614.57, perf_penalty=1037.34, p50=30.8020, p95=164.8110, cost_gradient=20.5003, perf_gradient=-3184.3067, overall_gradient=-3163.8064
IAH, disk_mb=159668480.00, hitrate=87.64, cost=4399.87, perf_penalty=253.22, p50=25.6400, p95=106.1700, cost_gradient=24.1805, perf_gradient=-24.8012, overall_gradient=-0.6207
IND, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=5107.92, p50=35.6260, p95=119.2560, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MCI, disk_mb=38422400.00, hitrate=65.30, cost=939.00, perf_penalty=17004.03, p50=42.5140, p95=135.1680, cost_gradient=20.5174, perf_gradient=-240.6793, overall_gradient=-220.1618
LAS, disk_mb=44689920.00, hitrate=65.50, cost=1348.08, perf_penalty=4155.24, p50=33.5800, p95=133.8120, cost_gradient=21.3637, perf_gradient=-152.7344, overall_gradient=-131.3707
LAX, disk_mb=65516160.00, hitrate=71.08, cost=3789.03, perf_penalty=5553.75, p50=28.5600, p95=119.0050, cost_gradient=28.9684, perf_gradient=-499.0892, overall_gradient=-470.1208
SDF, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=7435.77, p50=43.7980, p95=130.0880, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MEM, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=14291.91, p50=44.0760, p95=133.3690, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MIA, disk_mb=43758080.00, hitrate=55.40, cost=3518.12, perf_penalty=2587.63, p50=28.3500, p95=120.9000, cost_gradient=35.4778, perf_gradient=-187.2394, overall_gradient=-151.7617
MKE, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=5544.75, p50=36.0380, p95=119.5560, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MSP, disk_mb=117653760.00, hitrate=82.62, cost=3746.97, perf_penalty=1237.12, p50=28.7130, p95=106.9600, cost_gradient=30.9483, perf_gradient=-65.2750, overall_gradient=-34.3267
MSY, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=10452.35, p50=38.5000, p95=130.4660, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LGA, disk_mb=67757760.00, hitrate=74.50, cost=3611.43, perf_penalty=1570.51, p50=23.5330, p95=115.0630, cost_gradient=41.3838, perf_gradient=-93.3287, overall_gradient=-51.9449
ORL, disk_mb=0.00, hitrate=10.40, cost=0.00, perf_penalty=6487.33, p50=35.4550, p95=126.4980, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
PHL, disk_mb=108779520.00, hitrate=82.00, cost=3674.48, perf_penalty=311.10, p50=24.9240, p95=107.9950, cost_gradient=32.9214, perf_gradient=-29.0819, overall_gradient=3.8395
PHX, disk_mb=84158400.00, hitrate=75.51, cost=3035.28, perf_penalty=1987.77, p50=28.9670, p95=115.8280, cost_gradient=8.7474, perf_gradient=-156.5737, overall_gradient=-147.8263
PIT, disk_mb=66938240.00, hitrate=77.18, cost=2275.10, perf_penalty=1701.28, p50=31.6560, p95=108.3280, cost_gradient=18.9960, perf_gradient=-135.0729, overall_gradient=-116.0769
