iteration=1
DFW, disk_mb=51152960.00, hitrate=54.49, cost=3301.49, perf_penalty=7648.57, p50=28.0040, p95=121.4030, cost_gradient=76.6910, perf_gradient=-667.9071, overall_gradient=-591.2161
DEN, disk_mb=31328320.00, hitrate=56.50, cost=776.26, perf_penalty=10826.96, p50=32.8650, p95=126.5520, cost_gradient=58.5333, perf_gradient=-613.9529, overall_gradient=-555.4196
DET, disk_mb=50904000.00, hitrate=67.98, cost=1258.60, perf_penalty=42940.49, p50=38.7690, p95=124.0540, cost_gradient=18.7805, perf_gradient=-813.2660, overall_gradient=-794.4854
HNL, disk_mb=0.00, hitrate=-19.60, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
IAH, disk_mb=60680320.00, hitrate=56.81, cost=3070.62, perf_penalty=7161.73, p50=31.2650, p95=118.9150, cost_gradient=14.3089, perf_gradient=-575.0860, overall_gradient=-560.7772
IND, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=12082.10, p50=37.5610, p95=123.0330, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MCI, disk_mb=48380800.00, hitrate=63.10, cost=995.60, perf_penalty=47042.55, p50=44.2430, p95=138.0160, cost_gradient=23.6607, perf_gradient=-1080.7166, overall_gradient=-1057.0559
LAS, disk_mb=40267840.00, hitrate=55.53, cost=875.76, perf_penalty=10926.60, p50=36.9040, p95=138.1470, cost_gradient=27.7630, perf_gradient=-728.3239, overall_gradient=-700.5609
LAX, disk_mb=59384000.00, hitrate=59.69, cost=2661.16, perf_penalty=17908.49, p50=31.0220, p95=123.1140, cost_gradient=111.3206, perf_gradient=-602.1130, overall_gradient=-490.7924
SDF, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=16946.40, p50=45.8580, p95=133.8770, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MEM, disk_mb=0.00, hitrate=-16.80, cost=0.00, perf_penalty=35096.62, p50=47.1700, p95=139.6270, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MIA, disk_mb=34118080.00, hitrate=50.78, cost=2342.98, perf_penalty=5365.54, p50=28.9780, p95=122.1430, cost_gradient=63.5186, perf_gradient=-478.2943, overall_gradient=-414.7756
MKE, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=14207.84, p50=38.0390, p95=123.4250, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
